base,profile,target,rank,action_key,source,mode,alpha,cap,anchor_ref,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,bad_alignment,train_cap_scale,test_cap_scale,base_safe
public_aware_stack_blend_20260622/target_select_public_balanced,tight,Q2,11,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p018__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.08,0.018,base,0.6941041157973786,0.6210191864042591,-0.004454002282178959,-0.0017618728043102827,0.0012242591734561437,-0.017065182896142228,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,0.8714149361406757,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,0,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.05,0.024,base,0.6960276936124483,0.6202324439307607,-0.0025304244671092713,-0.002548615277808697,0.0031478369885258317,-0.017851925369640642,0.008735235370839856,0.006275984478679073,0.564,0.436,0.003303257469010028,6.065677293101647e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,1,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,2,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,3,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,4,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.05,0.024,base,0.6958421116125962,0.6203241479724303,-0.0027160064669613515,-0.0024569112361391143,0.0029622549886737515,-0.01776022132797106,0.008732671658455602,0.0061115355890161375,0.564,0.436,0.003318548687403407,6.067785198614567e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,5,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,6,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,7,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,8,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,9,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,10,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,balanced,Q2,11,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,prob,0.12,0.024,base,0.6923043611404882,0.6171612893357068,-0.006253756939069377,-0.005619769872862612,-0.000575495483434274,-0.020923079964694558,0.011498409938360366,0.005207683371705662,0.564,0.436,0.004653516135091598,7.664782323881407e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,0,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.05,0.024,base,0.6960276936124483,0.6202324439307607,-0.0025304244671092713,-0.002548615277808697,0.0031478369885258317,-0.017851925369640642,0.008735235370839856,0.006275984478679073,0.564,0.436,0.003303257469010028,6.065677293101647e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,1,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,2,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,3,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,4,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.05,0.024,base,0.6958421116125962,0.6203241479724303,-0.0027160064669613515,-0.0024569112361391143,0.0029622549886737515,-0.01776022132797106,0.008732671658455602,0.0061115355890161375,0.564,0.436,0.003318548687403407,6.067785198614567e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,5,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,6,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,7,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.12,0.024,base,0.6926660898686876,0.6169505226758217,-0.005892028210869982,-0.005830536532747677,-0.00021376675523487876,-0.021133846624579622,0.01150817019026914,0.0055741693692895064,0.564,0.436,0.004621259648692162,7.662403412910121e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,8,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,9,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,10,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_balanced,q2_force,Q2,11,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p12__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,prob,0.12,0.024,base,0.6923043611404882,0.6171612893357068,-0.006253756939069377,-0.005619769872862612,-0.000575495483434274,-0.020923079964694558,0.011498409938360366,0.005207683371705662,0.564,0.436,0.004653516135091598,7.664782323881407e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_balanced
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,0,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.05,0.024,base,0.6960276936124483,0.6202324439307607,-0.0025304244671092713,-0.002548615277808697,0.0031478369885258317,-0.017851925369640642,0.008735235370839856,0.006275984478679073,0.564,0.436,0.003303257469010028,6.065677293101647e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,1,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,2,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,3,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.08,0.024,base,0.6945609981988464,0.618784946432416,-0.003997119880711164,-0.003996112776153415,0.001681141574923939,-0.01929942286798536,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,4,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.05,0.024,base,0.6958421116125962,0.6203241479724303,-0.0027160064669613515,-0.0024569112361391143,0.0029622549886737515,-0.01776022132797106,0.008732671658455602,0.0061115355890161375,0.564,0.436,0.003318548687403407,6.067785198614567e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,5,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,6,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,7,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p08__cap0p024__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.08,0.024,base,0.6942890003201998,0.6189293591459402,-0.004269117759357788,-0.0038517000626292486,0.0014091436962773152,-0.019155010154461194,0.009917988064129066,0.00572417035302594,0.564,0.436,0.0038906775935554855,6.752212538014639e-05,1.0,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,8,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p018__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,logit,0.05,0.018,base,0.6956677910313437,0.6213606449533736,-0.002890327048213903,-0.00142041425519579,0.0027879344074212,-0.016723724347027735,0.008735235370839856,0.006275984478679073,0.564,0.436,0.003303257469010028,6.065677293101647e-05,0.9298582954597887,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,9,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p018__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,prob,0.05,0.018,base,0.6954682998255645,0.6214996784236909,-0.0030898182539931263,-0.0012813807848784942,0.0025884432016419767,-0.01658469087671044,0.008732671658455602,0.0061115355890161375,0.564,0.436,0.003318548687403407,6.067785198614567e-05,0.9268995592723499,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
public_aware_stack_blend_20260622/target_select_public_aggressive,tight,Q2,10,Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p018__base,target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,logit,0.08,0.018,base,0.6941041157973786,0.6210191864042591,-0.004454002282178959,-0.0017618728043102827,0.0012242591734561437,-0.017065182896142228,0.009923177493056339,0.0059792613789697475,0.564,0.436,0.0038675037339783776,6.749637127480865e-05,0.8714149361406757,1.0,public_aware_stack_blend_20260622_target_select_public_aggressive
